cornyield_smooth1960,cornyield_smooth1970,cornyield_smooth1975,cornyield_smooth1980,cornyield_smooth1990,cornyield_smooth2000
61.599998,83.800003,85.599998,113.6,112,141.39999
81.800003,99.599998,109.2,125.2,115.4,156.60001
66.199997,84,88,103.6,117.6,123.4
81.599998,99.599998,98.199997,122.2,116.8,162.8
78,101.2,109.6,123.2,128.2,154.2
78.599998,112,120,126.8,123.2,149.2
82,110,122.2,129,138.39999,155.60001
66.400002,86,93.400002,113.2,126.4,134.60001
49,64.800003,80.199997,90,83.599998,111
55,64.400002,72,92.599998,101.6,123.2
75.599998,105.6,114.8,123.8,130.39999,150.2
63.799999,86.800003,84.400002,106.6,89.800003,115
59.799999,80.800003,93.599998,107.4,112.6,123.2
67,94,93.400002,112,121.4,132.39999
79,104,109.4,133.60001,125,154.2
81.599998,108,121.2,120.8,128,153.39999
80.199997,109.4,120.4,121,124.4,141.8
70.400002,86.199997,95.599998,117.8,112.8,126.6
75.400002,104,109.8,121,133.2,144.2
60.599998,69.800003,83,94.400002,104,116.8
57.799999,81,86.599998,108,107.2,121
58.799999,72.400002,77,97.599998,100.4,120.8
72.599998,102.4,102,114.4,105,142.60001
47.599998,56.200001,73.199997,76.800003,95.599998,96
72.199997,93,94.400002,111,109.8,150.2
55,73,91.400002,97,119.4,125.2
69.199997,85.800003,98.599998,108.8,126,138.39999
71.400002,92.599998,102.8,119.6,110.2,141.2
46,58.799999,77.199997,81.800003,95.599998,109.4
71.800003,100.6,93.199997,119,105.8,146.8
42.400002,50.799999,69.400002,73.599998,92.800003,112
77.800003,102.8,111.6,125.2,112.6,153.8
77,100.2,107,124.8,110,154
74.599998,104.4,102.4,114.6,109,151.2
50.799999,65.599998,74,84,95.199997,107
61.599998,82.199997,90.599998,108.4,105.2,121
51.200001,60.400002,72,82.199997,81.400002,106.2
68,88.199997,92.800003,111.8,122,138.60001
73.800003,96.400002,93.400002,116.6,107.8,148.39999
40,58.400002,71,79.199997,84.800003,107
78.400002,98.800003,104,130,122.6,146.39999
76.599998,101.4,97.800003,116.6,102.2,137.60001
75.400002,97,98.400002,122.8,113.8,138.2
76,99.400002,112.4,122.6,112.6,159
63.400002,79.199997,80,101.6,86.800003,105.2
78.599998,94.199997,105.8,124.2,115.8,147.60001
55.400002,76.199997,82.199997,97.599998,100.8,123.2
81.800003,100,97.800003,126.6,118.6,159
76.599998,101.4,103.4,119.8,109,139.39999
84.199997,108.6,121.8,118.4,132.60001,154.8
78.199997,102,106.4,124,123,160.2
70.800003,92.599998,90.800003,118.8,107.2,132.8
84.800003,109.8,113.8,124.2,124.6,153.39999
88.199997,112,121.4,127.2,134.8,158.60001
71.400002,92.199997,100.8,117.4,131.2,145
63.200001,77.400002,84.599998,105.6,112.8,135
50.200001,63.799999,72.599998,90.400002,88.400002,118
78.400002,99.800003,107,117.4,113,152.39999
71.199997,95.400002,96.599998,105.6,115,141.60001
48,64.599998,84.199997,85,99.599998,106.8
74.199997,108.6,122.2,120.8,131.2,155.39999
74.599998,101.4,114.4,124.2,106.8,154.60001
62.599998,72.599998,80,102,106.8,121.2
71.599998,90.800003,101.4,119.2,122.8,141.39999
76.800003,105.2,116.4,131.60001,135.39999,156
79.199997,114,126.6,132,135.39999,154.60001
78,101.2,99.199997,124.4,118.4,154.60001
74.599998,93.599998,101.2,116.6,108.8,156.60001
44,61.599998,71,78.800003,84.199997,91.800003
88.599998,114,126.8,127.4,136.2,155.39999
69,87.599998,87.599998,107.2,120.6,144.8
41,53.799999,69.800003,74.599998,88,91.199997
49.799999,67.599998,76.199997,86.400002,106.2,116
77.400002,92.199997,103.6,118.2,114,155.39999
51.400002,65.400002,72.599998,89.400002,96.800003,108.2
52.799999,68.400002,79.199997,95.599998,89.599998,111
72.599998,97.199997,103.6,122.4,110.6,153.39999
62.599998,73.800003,83,103.6,117.2,127.6
53.200001,67.400002,76.599998,81.599998,106.8,102.6
78,106.6,116.8,131,139.2,156.60001
68.800003,94.199997,80,109.6,117.4,146.60001
70.199997,93.400002,106.6,117.2,127,141.39999
71.800003,98.599998,109.4,120.4,122,136.8
79.400002,97.199997,109.2,126,121.4,159.39999
80.400002,102,95.199997,119.2,112,148.60001
78.800003,106,111.6,119.6,125,154
55.200001,63.799999,73.400002,86.800003,98.599998,114.4
77,108,109,121.2,118,145.60001
61.599998,76.599998,86.199997,100.6,107.8,125.4
80.400002,105.6,117.6,130.39999,114,161.39999
55.200001,66.199997,75,89.400002,93.800003,114.6
48,58.200001,75,87.599998,89,112.8
60.200001,72.199997,76,87.599998,112.4,119.4
81,98.199997,99.599998,122.6,108,147
67.800003,86.800003,85.800003,111.2,102.4,131.60001
40.599998,55.400002,69.599998,77.400002,92.599998,89
77.199997,99.800003,92.599998,118.2,107.2,135.2
82.400002,106,106.4,122.6,112.8,157.39999
