cornyield_smooth1980,cornyield_smooth2000
97.18,143.39999
122.28,153.60001
80.199997,124.4
118.84,158.39999
98.199997,137.8
99.82,144.39999
,
57.099998,100.16
57.099998,
47.580002,
56.580002,92.980003
,138.72
49.279999,91.919998
52.52,99.019997
43.720001,83.68
39.799999,
50.880001,116.86
37.200001,
45.639999,91.68
,125.48
52.799999,
42.880001,
76.659996,110.4
50.34,
48.779999,
63.68,
47.48,
47.139999,97.160004
40.48,
44.200001,
47.299999,106.02
57.139999,115.74
,127.66
,127.7
52.200001,75.599998
47.02,
41.900002,
40.439999,
44.32,
43.079998,
39.48,
48.419998,94.099998
45.279999,
38.599998,
41.919998,
43.779999,
57.400002,77.099998
,127.08
56.920002,
44.400002,97.779999
52.84,110.14
44.48,
50.220001,89.860001
49.380001,86.300003
52.579998,94.040001
49.040001,
45.34,
61.740002,110.16
56.48,
60.260002,103.1
48.32,
43.200001,
55.5,
62.18,
58.299999,
,116.66
48.68,104.52
47.259998,94.720001
,127.26
43.380001,
39.739998,
49.540001,
,128.98
,126.36
60.200001,97.5
50.559998,93.459999
50.040001,
,116.5
58.84,89.760002
47,
,127.06
,131.36
42.52,
42.02,87.660004
47.939999,
44.060001,
61,99.659996
70.220001,122.84
85.159996,112.74
85.739998,114.68
101.74,121.68
90.739998,110
63.939999,107.3
76.479996,129.10001
68.379997,107.32
71.919998,100.76
83.620003,106.32
80.720001,111.14
93.779999,124.16
88.559998,123.14
80.599998,109.18
77.699997,109.9
77.959999,
92.18,120.08
93.599998,128.89999
,
78.260002,106.04
59.900002,104.88
87.659996,123.08
72.159996,
100.7,114.08
88.059998,121.02
94.379997,113.96
80.18,101.12
79.279999,108.38
61.799999,
69.099998,123.84
63.279999,
90.300003,100.92
86.220001,102.82
70.220001,
57.84,
97.160004,135.92
75.220001,112.32
73.540001,99.540001
84.860001,103.36
63.540001,85.419998
86.800003,112.84
86.68,111.3
74.300003,88.879997
75.360001,
96.639999,128.88
84.120003,125.25999
79.339996,
66.839996,
81.32,117.64
74.199997,122.08
79.940002,91.599998
79.199997,96.860001
97.739998,105.72
67.919998,
90.959999,125.56
61.899998,111.28
94.480003,107.52
92.5,108.66
85.479996,105.56
85.32,114.42
63,
82.400002,108.36
80.360001,
71.639999,86.120003
94.239998,120.94
93.979996,115.08
80.360001,96.459999
96.900002,147.5
72.82,99.339996
85.300003,107.7
91.220001,105.6
78.139999,93.540001
108.22,142.5
69.260002,96.519997
88.139999,109.46
,
75.099998,113.94
64.400002,
97.720001,131.72
95.400002,121.52
78.660004,100.38
77.099998,
97.779999,114.3
92.139999,122.04
60.18,90.599998
70.080002,
87.459999,107.22
88.779999,113.14
82.540001,104.88
83.279999,122.46
67.82,
61.32,109.86
99.019997,126.98
66.120003,94.220001
,126.34
73.839996,106.54
93.739998,125.1
93.540001,131.44
90.400002,110.34
96.760002,113.94
102.72,144.01999
56.16,
90.900002,108.68
107.98,138.82001
,
85.82,104.48
,
73.459999,
68.480003,99.860001
92.559998,108.62
65.199997,
74.82,103.5
73.340004,
84.200005,106.36
74.540001,
121.74,154.81999
101.38,139.39999
112.4,128.28
106.62,92.019997
103.68,136.3
97.220001,138.39999
110.36,136.48
60.02,84.599998
103.56,148
122.82,158.02
95.720001,128.38
107.32,128.7
94.599998,108.68
81.239998,120.62
120.68,165.38
93.040001,149.74001
113.06,118.8
124.72,154.92
98.639999,133.56
88.520004,128.08
99.599998,145.01999
86.720001,132.17999
100.68,109.1
126.76,161.46001
119.56,104.2
80.839996,121.56
98.459999,133.42
97.040001,128.82001
106.86,151.64
123.62,150.02
120.76,149.42
120.34,126.9
106.98,117.82
100.9,110.88
114.6,118.96
97.540001,135.44
126.94,151.42
101.6,
104.58,134.75999
123.28,157.14
120.96,163.60001
122.56,139
101.2,130.92
116.52,115.3
117,152.72
100.6,
112.78,139.94
115.04,121.62
83.660004,98.639999
130.38,163.89999
114.36,138
93.019997,110.22
100.42,89.440002
77.040001,111.14
97.580002,105.86
119.5,154.22
84.919998,134.92
93,129.54001
91.580002,140.48
95.639999,120.36
113.42,146.03999
118.3,145.72
101.28,127.84
90.480003,99.599998
123.12,129.58
89.540001,94.440002
75.800003,92.199997
124.7,137.8
132.28,170.7
92.300003,129.72
102.32,137.42
118.32,142.75999
114.94,119.98
86.279999,107.8
105.04,153.7
118.18,126.68
94.32,108.4
98.860001,128.7
118.06,137.48
117.08,129.28
98.599998,129.78
100.06,145.24001
106.12,142.3
86.32,122.44
123.82,140.62
101.86,
83.339996,125.96
107.66,141.3
94.559998,126.38
80.220001,121.58
112,130.16
107.5,139.58
122.42,157.98001
,
,
,
,
,
,
,
,
,
,
75.800003,
91.199997,90.300003
75.599998,
83.400002,
90.199997,94.32
89.400002,78.639999
88.599998,83.840004
88.599998,81.900002
93,91.440002
84.800003,89.760002
90.800003,84.260002
79.800003,
95.400002,92.739998
82.800003,69.5
93,77.300003
98,88.639999
85.800003,92
91.400002,104.4
91.599998,101.4
87.699997,102.6
92.5,107.8
89.339996,101.8
88.300003,93.599998
91.599998,103.4
90.919998,113.4
96.120003,96.400002
91.739998,96
91,91.400002
93.599998,99
88.699997,103.8
80.599998,86
84.400002,108.2
88.599998,100.2
90.099998,105.8
91.599998,90
91.599998,103.6
91.300003,106
91.699997,105.2
91.059998,106.6
90.199997,102.6
90.919998,103.8
95.520004,98.599998
89.900002,100.2
92.260002,101.6
91.360001,102.8
93.660004,102.4
93.5,87.800003
94.059998,107
89.099998,96.599998
90.699997,99.599998
,
99.099998,99.800003
92.400002,95.800003
94.599998,104.8
87.599998,78.800003
99.699997,109
84,101.8
87.459999,99.800003
84.019997,96.599998
92,113.4
93,84.199997
91.599998,93
86.699997,93
93.800003,95.199997
,
97.919998,104.4
89.659996,103.4
,
90.300003,111.4
91.099998,99.599998
70.800003,70.800003
63.799999,59.200001
75.800003,
75,78.400002
69.639999,
68.059998,
89.199997,108.6
76,92.599998
77.199997,87
67,79.400002
72.800003,
71.800003,78.400002
67.199997,69.800003
63.799999,81.599998
101.8,121.2
83.199997,112.2
61,64.199997
75.599998,77.400002
69,77
76,95.599998
89,110.4
82.800003,
60.400002,62.400002
80.199997,82
74.599998,89.800003
72.800003,
96.400002,122
73,74.199997
77.800003,79.599998
78.400002,90.199997
59.799999,
68.800003,79.400002
71.800003,71.400002
54,80.599998
59.799999,
73.199997,86.199997
57.200001,71.199997
84.800003,91.800003
71.400002,65.800003
71.599998,73.599998
65.599998,74.400002
78.599998,
88.199997,106
76.599998,92
67,70.199997
98.599998,118.8
69.199997,85.400002
71.400002,74
80.400002,97.400002
61.400002,72.599998
81.800003,100.8
70.400002,66.800003
73.599998,
62.599998,
83,81
62.799999,67.400002
73,
60.200001,
59.599998,70.800003
66.199997,74.199997
72.599998,
71.599998,80
75.400002,98.599998
76.199997,73.800003
96.400002,105.6
100.4,121
80.599998,86.199997
93.199997,112.6
67.400002,76.199997
80,82.599998
58.200001,
71.800003,75.599998
63,69.400002
75.800003,80
63,76.599998
69.599998,78
65,
74,83.400002
67,63.200001
74.800003,82
60.200001,74.599998
70.800003,90.199997
65.599998,
83.199997,96.199997
96,123.4
68.599998,83.800003
50.799999,
62.200001,
51.599998,74.199997
88.400002,113
71.599998,
82,89.599998
71.400002,94.599998
78.599998,84.400002
78.599998,94.199997
64.400002,
,57.759998
60.099998,112.5
79.360001,79.599998
,
46.939999,73.660004
,51.439999
,
64.32,84.839996
72.620003,119.18
,
73.300003,122.93999
,
,78.239998
70.459999,
60.119999,94.239998
80.279999,95.099998
72.800003,67.82
69.300003,100.72
49.380001,
80.720001,103.58
,62.02
95.860001,132
65.919998,118.2
56.5,85.959999
62.619999,86.5
53.200001,90.099998
57.32,89.379997
72.480003,89.220001
,108.04
40.66,91.059998
,57.799999
58.360001,95.260002
40,95.779999
61,102.76
39.639999,86.120003
,90.620003
74.099998,122.02
,61.760002
80.160004,125
,60.02
66.040001,122.88
,
,
,
,62.380001
87.379997,113.5
61.439999,97.839996
,
83.800003,118.24
58.439999,102.2
47.540001,78.400002
49.740002,78.620003
,
92.879997,99.860001
114.34,132.24001
100.62,110.22
96.540001,114.18
89.019997,119.56
107.22,127.78
92.099998,
98.760002,117.62
105.86,114.92
90.779999,95.699997
113,135.58
115.48,136.64
97.440002,105.56
111.88,139.36
101.08,108.5
112.7,115.82
115.64,136.44
,
114.44,138.22
107.86,136.08
104.5,125.4
118.16,129.95999
104.56,126.78
109.56,129.48
101.32,115.88
116.04,135.89999
90.279999,102.46
91.5,104.9
114.02,129.25999
84.739998,109.3
105.92,119.46
115.36,125.93999
108.26,132.89999
90.360001,84.080002
117.78,141.7
104.22,125.25999
93.900002,115.6
101.76,111.14
113.62,124.44
94.879997,91.839996
90.260002,
105.76,119.74
,
92.459999,101.18
100.08,126.08
103.76,133.04001
102.14,119.02
119.76,139.56
104.98,133.32001
96.080002,110.6
105.4,132.64
98.739998,106.48
97.139999,109.6
110.9,133.86
115.3,138.64
88.339996,109.98
113.9,134.38
99.5,107.7
104.28,125.5
99.620003,113.92
84.980003,90.260002
106.58,120.56
111.66,124.78
97.620003,128.48
107.82,116.56
95.5,103.92
95.520004,108.8
118.34,138.44
112.34,131.2
104.22,120.76
104.1,126.08
116.72,136.42
96.879997,108.9
114.78,126.92
110.68,137.58
101.22,103.48
96.239998,109.88
96.32,121.68
100.96,98.559998
105.06,136.2
121.42,133.89999
96.020004,99.099998
107.8,129.8
99.82,107.26
105.66,117.08
105.16,122.5
112.18,130.75999
110,124.66
,
,102.08
,
98.239998,151.34
,
,
55.32,91.360001
74.940002,78.559998
80.720001,
,
,
56.940002,94.059998
106.62,159.03999
65.940002,
,
,76.980003
,
52.34,74.82
,
,78.860001
,
,
,142.38
,
73.860001,99.520004
63.760002,
54.200001,
,
,
,152.34
,97.059998
54.860001,100.48
,
,
66.699997,
,89.959999
,
,
,
,83.400002
,
,
,
74.139999,93.300003
,73.639999
61.040001,
61.48,132
,
49.98,70.720001
,
61.66,120.92
,
52.16,81.559998
,81.879997
64.980003,104.56
59.119999,94.860001
51.16,
46.700001,84.199997
,
,
,
60.759998,
,98.080002
,
,
,
,
82.260002,109.08
,
110.12,169.02
,56.200001
,
,90.400002
,
74.5,
,
,
80.540001,93.040001
92.300003,
96.760002,95.779999
95.139999,82.580002
97.160004,90.379997
86.139999,93.800003
96.360001,108.22
88.559998,87.080002
88.940002,91.559998
95.540001,95.68
84.339996,93.040001
89.400002,
79.980003,75.82
95.760002,99.400002
102.36,102.48
98.559998,93.419998
85.959999,93.760002
97.580002,82.400002
86.739998,96.459999
94.940002,100.06
84.139999,95.480003
87.360001,88.620003
95.519997,
85.699997,80.059998
94.32,95.419998
93.559998,85.599998
88.400002,
88.339996,98.900002
88.760002,87.580002
94.540001,
