prec_smooth1980,tavg_smooth1980,dday31C_smooth1980,prec_smooth1990,tavg_smooth1990,dday31C_smooth1990,prec_smooth2000,tavg_smooth2000,dday31C_smooth2000,Cluster
4.6131868,17.172014,15.123785,2.9640484,17.729536,12.292754,6.0262237,17.281248,13.52321,0
7.4748425,18.634514,15.963775,4.4121146,19.116949,12.438462,5.8545723,18.945673,19.184475,0
8.7483912,16.255703,2.0192425,4.5144706,16.208614,0.85912049,6.4293127,15.92241,1.0204254,0
16.567398,18.497864,67.240761,14.198686,19.312363,82.083351,14.8805,19.155022,79.384193,0
12.729989,12.789347,3.4290826,12.464132,13.446231,4.1084924,10.645622,13.511127,4.6891479,0
11.746243,14.403441,15.197326,12.707273,15.21979,20.779789,10.626367,15.118458,19.569538,0
6.3748951,20.334885,46.592327,5.2402391,20.945982,57.006214,6.1099772,20.874496,58.016705,0
8.770853,17.297544,15.257537,7.8736167,17.552395,10.354517,8.8078394,17.33363,13.990114,0
5.5065861,21.337368,73.762192,4.1963425,21.729219,73.240013,5.1386557,21.603033,79.435692,1
7.1633282,21.415529,78.852615,6.0356345,22.369078,102.54615,6.8950291,22.03772,95.034996,1
11.64606,21.807508,100.33072,10.353115,22.526148,119.80869,10.986034,22.074831,110.09578,1
5.0710344,22.715994,123.37197,2.6046019,23.205009,116.11462,4.951396,23.220482,137.0519,1
13.140137,20.127203,73.961884,9.3598995,20.266697,70.302589,12.454349,20.394594,78.383629,0
3.4293118,18.476171,13.217491,2.3785551,18.60775,8.6525087,5.9126039,18.089735,7.0092425,0
6.893393,21.035318,73.240143,5.3125563,21.776455,86.883949,6.0975971,21.517347,78.368866,1
9.307559,21.38702,77.446442,8.0571289,22.412292,105.10632,8.9585638,22.098978,102.77238,1
27.506277,17.397243,24.485229,27.667908,17.591793,21.681448,27.560539,17.877575,35.048332,0
12.651991,13.052076,0.10084381,13.007787,13.250648,0.42014423,12.893933,13.579704,0.27840093,0
29.330883,17.072805,20.684803,29.66226,17.255117,18.43037,29.667404,17.48173,28.179522,0
19.098059,13.8091,3.9969547,23.189163,13.940311,2.2945681,20.61375,14.96466,5.1919093,0
29.584215,20.001114,59.414635,35.064304,19.638826,37.790306,28.60507,20.235319,58.496525,0
26.154161,20.189972,74.118675,27.76437,19.859241,56.802967,26.237623,20.431551,73.129868,0
27.982458,16.952057,15.656404,25.227737,16.88056,13.092235,25.11842,17.182692,24.717957,0
17.218052,13.197114,0.28169596,18.953901,13.242533,0.48514867,17.314545,13.641715,0.66704369,0
33.144562,18.237732,36.998917,35.403725,18.142187,26.662775,28.899103,18.722208,45.853355,0
13.828637,13.079047,0.051275805,13.833317,13.280941,0.36240023,14.303819,13.726227,0.29968962,0
16.604824,13.048626,0.10638899,16.988098,13.250669,0.51784337,17.595877,13.680414,0.28724661,0
21.97864,19.406406,66.74852,23.016628,19.209867,50.095325,21.950693,19.864273,72.389595,0
26.486996,12.726257,0.64754117,27.707563,12.617512,0.43572524,23.777203,13.130239,0.65831059,0
13.721926,17.572985,28.184191,13.638119,17.755587,19.706608,15.436179,17.795652,25.93985,0
26.298704,17.178782,16.642733,26.925919,17.450092,16.56263,27.772785,17.589813,24.380598,0
14.971099,15.352022,4.8673201,17.441044,15.55716,4.0886917,15.207658,16.16601,7.545578,0
31.18606,14.866426,3.5379577,31.075106,15.127907,4.039535,32.391151,15.385666,5.1959271,0
16.790003,13.697954,1.1342986,16.146727,13.692591,0.65449023,17.106255,14.154222,1.1012592,0
30.423233,15.798737,9.0650406,30.814062,15.872451,7.4184666,29.957327,16.200598,10.205532,0
31.425461,16.319229,12.902909,29.79694,16.356901,10.692866,29.690657,16.644964,13.325039,0
24.015882,16.340313,14.35915,24.071892,16.436468,10.456544,21.78064,16.9156,15.779943,0
17.090609,15.331574,6.4140568,16.066729,15.617172,5.0892386,17.592218,15.84221,7.8854623,0
19.055758,10.567962,0.071237147,19.187799,10.597796,0.030052271,19.553455,11.193235,0.064918309,0
16.993366,10.557997,0.02556519,19.58691,10.862594,0.078819007,18.943275,11.385707,0.079731107,0
27.848911,15.546575,8.6599159,27.226704,15.699958,5.0142536,24.333813,16.299398,6.7410688,0
21.103174,9.4810848,0.019900549,22.124542,9.7611046,0.040893573,22.430893,10.34939,0.049684659,0
27.611622,15.968122,6.5941138,27.258823,16.292303,6.8629169,28.775806,16.689962,11.733684,0
29.865011,18.940042,48.907207,32.059105,18.674026,33.631756,27.11075,19.256008,54.097969,0
35.984455,18.053131,31.102119,36.783611,17.893795,22.174303,29.451368,18.351105,36.11319,0
16.061157,8.4325924,0.0,17.705225,8.6490116,0.0,19.750359,9.0301914,0.0,0
18.623089,14.855725,5.1968417,22.50054,14.949533,3.1297522,19.763397,15.944805,6.8225236,0
29.934544,15.917144,8.532052,26.498451,16.065977,8.4169474,24.792948,16.496597,15.401916,0
32.944641,17.823303,21.433153,24.886265,17.723249,15.685702,22.705009,18.379446,24.179121,0
30.787142,16.869438,18.818121,32.001472,16.764544,12.554753,27.853142,17.221886,18.668791,0
35.111794,17.233603,26.413769,34.072063,17.573233,25.651188,29.722345,18.055321,40.634197,0
12.966125,17.566841,30.644705,12.563894,17.799639,26.399212,14.116809,18.041574,39.430424,0
19.439644,14.17182,2.4897707,19.568411,14.337125,1.2212183,18.198467,14.652104,2.7460086,0
16.308197,15.843529,7.5653954,18.893185,15.98184,5.9941306,16.460459,16.745949,10.452963,0
12.739062,16.973742,18.732105,13.19746,17.080948,12.451506,14.799827,17.240391,18.192102,0
28.990839,17.732737,32.756523,29.328157,17.928186,28.797352,25.679264,18.476538,51.123135,0
21.05652,19.763464,68.384285,22.811859,19.571321,51.431461,21.649654,20.314936,77.309998,0
21.837803,12.152968,0.10671615,22.894958,12.272457,0.20872012,23.789387,13.026031,0.28064182,0
22.987978,8.9008179,0.0,24.423685,8.9957638,0.0,26.147627,9.5617971,0.0,0
36.206463,17.993196,32.605476,33.224186,17.927034,20.588816,31.258318,18.558371,40.227806,0
21.044802,11.717444,0.092750378,20.67263,11.745399,0.057410918,23.039927,12.204415,0.034806781,0
29.557381,20.053387,69.101982,33.190708,19.676155,49.809063,28.271738,20.132244,67.004066,0
24.974432,18.598522,45.097805,25.202007,18.498344,35.412029,22.498751,18.939657,49.075375,0
21.594915,13.388813,1.8541152,21.043156,13.56543,1.3053806,20.463219,13.758444,2.4565642,0
13.7011,12.776819,0.015075503,14.221722,12.939468,0.14266853,13.60765,13.244142,0.1115027,0
23.40659,12.460156,1.5380883,24.94138,12.648291,0.74831945,22.621542,13.142468,1.6447278,0
14.196203,12.675655,0.025182428,15.50075,12.907749,0.1226673,13.965778,13.436137,0.16194615,0
19.642151,14.041964,2.5942607,20.664194,14.531704,1.6827738,23.823183,15.000899,3.0992944,0
36.054108,18.077133,34.923691,33.980244,18.173058,26.472519,33.025677,18.573618,43.568451,0
28.686001,10.082254,0.0,28.48,10.314435,0.0,27.691999,10.886132,0.0,0
34.092743,17.353966,24.398371,34.130493,17.41538,19.196007,28.645517,17.96265,34.291798,0
27.138334,17.132202,21.295681,25.807482,17.230146,18.259205,24.275759,17.658211,33.658894,0
37.290146,18.1201,32.83997,36.268829,18.159369,24.878405,29.92947,18.727009,42.808815,0
61.195873,17.177521,2.6323547,71.623047,17.334234,4.3089995,65.334702,17.661774,5.4377799,0
55.365768,17.244904,3.9718928,69.593849,17.346376,6.0397563,59.636013,17.771173,7.3617549,0
56.839016,16.033438,0.85359943,69.648735,16.226784,1.9714385,65.311592,16.637436,2.8249371,0
63.50531,17.152206,1.9010134,74.353905,17.457781,3.4406164,64.310234,17.961277,5.227963,0
62.830364,17.329733,2.2308655,74.240562,17.553261,3.8205321,64.558952,17.966665,5.4239249,0
59.679073,16.631046,1.4965937,68.609612,16.727541,2.1826341,62.694374,17.3419,3.4317434,0
58.575069,16.372868,1.7783686,68.437317,16.47567,2.8532739,59.426422,17.02206,3.7088823,0
60.058846,16.256916,1.8596226,67.067276,16.323616,2.5316968,59.875648,16.94458,3.3619969,0
59.185104,19.692278,7.7607884,65.65522,19.901562,16.609081,59.38271,20.31035,15.931135,0
57.180153,19.77375,8.7369719,64.00882,19.925772,16.276573,55.750381,20.281462,18.14296,0
59.235096,19.840492,7.6866574,66.728477,20.078527,14.259444,59.388443,20.458141,15.375628,0
89.081413,25.325125,55.287418,79.593018,25.138149,48.264225,81.966133,25.592182,60.333889,1
