prec_smooth1960,tavg_smooth1960,dday32C_smooth1960,prec_smooth1970,tavg_smooth1970,dday32C_smooth1970,prec_smooth1980,tavg_smooth1980,dday32C_smooth1980,prec_smooth1990,tavg_smooth1990,dday32C_smooth1990,prec_smooth2000,tavg_smooth2000,dday32C_smooth2000,Cluster
66.531815,21.210037,7.9951134,55.665962,21.55183,15.491783,59.816017,21.564735,24.004385,65.187317,21.06506,12.643819,53.762051,21.867231,21.771656,1
72.129692,23.873884,34.518681,61.479778,23.497505,30.496262,62.60091,23.517866,42.729782,71.614067,23.189163,25.998343,53.965775,24.154873,46.982742,1
69.532005,23.827682,34.235504,57.23674,23.51119,33.181629,63.160271,23.622477,45.904442,66.845192,23.208376,25.331245,51.28347,24.16853,51.448444,1
69.136208,20.854528,6.0509262,56.134037,21.29022,13.871399,60.807919,21.3512,21.968115,65.136421,20.836193,12.920545,57.510544,21.713608,19.359423,1
69.862923,24.004599,30.42741,61.402119,24.163921,33.632038,66.048912,24.356607,44.297119,66.545929,23.910975,28.497189,53.154732,24.972925,53.716423,1
71.921249,23.374956,24.507839,59.966343,23.336088,34.267517,68.228317,23.622526,51.634624,65.960327,23.130241,24.331211,55.145321,24.00292,55.299408,1
56.37146,22.385044,16.803165,59.21265,22.550158,23.992937,53.658802,22.593012,37.717434,54.243141,22.289345,23.293415,55.366508,23.080242,27.328016,1
69.35334,22.02804,18.201801,62.95266,22.080387,19.602478,66.805023,22.383183,37.489201,65.220963,22.062725,21.130367,51.824207,23.077761,40.430019,1
69.376976,23.696991,29.862225,57.530846,23.465246,28.733891,64.345955,23.585369,42.998463,66.320518,23.247238,24.518143,49.728027,24.211569,45.228756,1
69.16806,23.778437,29.082512,59.798328,23.773808,34.971581,62.248379,24.049129,53.251846,69.238899,23.494905,25.226196,50.06955,24.339558,56.008335,1
67.049286,22.804537,26.214977,57.083355,23.021374,33.033611,58.390503,23.095581,53.30238,63.176785,22.587732,30.381346,50.243824,23.452826,52.261028,1
61.852695,22.905174,20.738161,61.941414,23.260899,27.729395,59.319435,23.163055,41.218224,58.590679,22.900084,24.940718,53.511963,23.669849,32.138977,1
69.449455,22.646967,28.334332,58.495167,22.868649,36.031502,57.844154,22.862246,48.076656,67.396027,22.642105,37.712818,57.082405,23.580893,59.718979,1
62.341328,23.074314,17.315144,59.206017,23.41803,22.41963,70.666336,23.470642,33.269566,60.875122,23.155737,21.085751,55.397243,24.00552,28.728947,1
63.99744,22.936092,19.170193,59.548111,23.32737,26.353212,71.029762,23.347954,37.779728,59.990364,23.09164,23.00135,51.075966,23.805449,30.687582,1
70.639351,23.386026,26.662548,56.744003,23.326906,31.999199,68.528687,23.534138,48.48698,63.819855,23.114441,23.742023,51.590103,24.094427,52.210411,1
67.565689,23.714361,26.563189,57.066925,23.884222,30.81834,63.91494,24.068808,44.221313,64.848701,23.682678,26.323099,48.382404,24.867065,51.25882,1
69.830132,23.738478,28.22838,59.085217,23.841824,31.642368,63.608387,23.979248,44.515686,67.170822,23.597267,27.440746,50.779305,24.741884,52.811737,1
66.473526,22.731237,23.280252,57.467426,22.833708,26.939375,65.892006,23.047665,46.172546,62.552349,22.659145,25.789824,49.115181,23.556797,45.765057,1
67.37661,22.589293,26.90431,58.949707,22.906,35.584835,59.399647,22.872368,49.155525,64.772659,22.438166,30.831526,54.517471,23.353664,50.938702,1
60.539974,21.084803,13.92914,56.751606,21.177147,16.171907,54.353432,21.319908,28.756731,57.538342,20.939238,16.123817,49.585224,21.848623,26.762817,1
72.184464,23.024036,27.13279,63.897312,23.013838,30.161066,69.338203,23.090788,50.810059,72.474152,22.710413,32.684963,53.514359,23.649324,62.941071,1
68.71769,23.167854,25.458494,56.919491,23.177757,30.483315,72.638519,23.502975,49.599236,62.546337,23.200447,26.796949,46.530247,24.0107,45.367554,1
58.549648,22.667894,18.31353,61.23436,22.984766,25.931231,55.491989,22.916592,39.501369,56.316982,22.60463,22.868137,55.058552,23.316513,27.724405,1
67.706902,23.611549,26.857405,62.517742,23.604694,34.657722,63.334679,23.800976,55.5056,69.028458,23.11487,22.643726,55.60318,24.10121,58.646927,1
