cornyield_smooth1960,cornyield_smooth2000
30.92,106.02
33.34,115.74
33.66,127.66
46.119999,127.7
32.459999,75.599998
32.68,
28.18,
31.799999,
30.360001,
31.200001,
24.860001,
31,94.099998
29.540001,
28.48,
29.84,
26.440001,
30.040001,77.099998
32.18,127.08
31.26,
24.440001,97.779999
28.639999,110.14
29.74,
33.220001,89.860001
26.719999,86.300003
29,94.040001
26.960001,
26.9,
23.74,110.16
26.119999,
38.740002,103.1
34.98,
29.82,
29.559999,
33.700001,
34.32,
35.52,116.66
27.98,104.52
26.18,94.720001
43.040001,127.26
30.58,
31.620001,
31,
33.220001,128.98
33.939999,126.36
37.579998,97.5
33.34,93.459999
29.74,
35.299999,116.5
30.860001,89.760002
30.860001,
41.299999,127.06
42.139999,131.36
27.639999,
30.42,87.660004
29.08,
26.780001,
32.220001,99.659996
33.52,122.84
53,112.74
60.360001,114.68
64.440002,121.68
57.780003,110
47.5,107.3
45.299999,129.10001
51.919998,107.32
46.919998,100.76
43.079998,106.32
56.68,111.14
56.439999,124.16
35.900002,123.14
52.939999,109.18
54.82,109.9
39.18,
54.959999,120.08
65.379997,128.89999
41.119999,
53.700001,106.04
46.16,104.88
61.279999,123.08
44.98,
59.900002,114.08
56.18,121.02
50.939999,113.96
51.380001,101.12
56.639999,108.38
45.419998,
47.52,123.84
39.579998,
55.02,100.92
53.68,102.82
39.68,
43.799999,
49.759998,135.92
51.600002,112.32
55.32,99.540001
56.360001,103.36
48.700001,85.419998
53.779999,112.84
56.759998,111.3
49.400002,88.879997
39.259998,
64.479996,128.88
58.68,125.25999
40.060001,
41.18,
60.060001,117.64
49.540001,122.08
49.899998,91.599998
52.260002,96.860001
59.66,105.72
40.259998,
61.880001,125.56
47.919998,111.28
60.84,107.52
57.900002,108.66
57.900002,105.56
55.299999,114.42
47.48,
57.439999,108.36
39.799999,
37.639999,86.120003
59.560001,120.94
51.439999,115.08
48.52,96.459999
70.779999,147.5
49.240002,99.339996
56.299999,107.7
57.919998,105.6
46.560001,93.540001
59.880001,142.5
45.639999,96.519997
54.200001,109.46
38.939999,
56.220001,113.94
35.220001,
56,131.72
57.419998,121.52
52.02,100.38
41.139999,
59.799999,114.3
56.860001,122.04
45.5,90.599998
43.5,
49.5,107.22
57.400002,113.14
53.639999,104.88
57.540001,122.46
41.68,
35.34,109.86
61.539997,126.98
45.939999,94.220001
,126.34
47.759998,106.54
60.66,125.1
67.720001,131.44
55.360001,110.34
55.48,113.94
59.420002,144.01999
39.959999,
62.240002,108.68
56.639999,138.82001
39.139999,
50.260002,104.48
41.540001,
38.560001,
48.779999,99.860001
61.560001,108.62
42.419998,
38.880001,103.5
40.419998,
57.560001,106.36
44.060001,
68.239998,154.81999
44.279999,139.39999
,128.28
27.68,92.019997
32.860001,136.3
48.080002,138.39999
45.98,136.48
28.98,84.599998
32.48,148
60.84,158.02
60.060001,128.38
55.799999,128.7
54.899998,108.68
45.720001,120.62
27.92,165.38
15.860001,149.74001
42.599998,118.8
70.620003,154.92
53.200001,133.56
57.639999,128.08
41.52,145.01999
52.279999,132.17999
20.52,109.1
71.620003,161.46001
59.32,104.2
46.200001,121.56
58.740002,133.42
58.100002,128.82001
24,151.64
61.98,150.02
59.220001,149.42
27.58,126.9
51.119999,117.82
44.02,110.88
54.399998,118.96
46.900002,135.44
55.48,151.42
,
41.959999,134.75999
71.82,157.14
74.400002,163.60001
47.380001,139
21.02,130.92
46.420002,115.3
36.52,152.72
,
43.740002,139.94
43.540001,121.62
46.260002,98.639999
69.260002,163.89999
61.079998,138
25.6,110.22
42.060001,89.440002
42.580002,111.14
46.299999,105.86
47.16,154.22
27.440001,134.92
44.18,129.54001
15.66,140.48
47.419998,120.36
65.159996,146.03999
57.84,145.72
45.700001,127.84
